IFN3_ID,Provincia.x,Estadillo.x,Cla.x,Subclase.x,PosEsp,Especie,Ocupa,Estado.x,FPMasa,Edad,FInfor,Fiabil,Barrena1,Barrena2,Barrena3,AltPer,OrgMasa1,OrgMasa2,TratMasa,INVENTORY_ID.x,PLOT_ID.x,Origen,Provincia.y,Estadillo.y,Cla.y,Subclase.y,CoorX,Coory,Tipo,Vuelo1,Pasada1,Foto1,Vuelo2,Pasada2,Foto2,Ano,INE,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Rocosid,Textura,MatOrg,PhSuelo,FechaPh,HoraPh,TipSuelo1,TipSuelo2,TipSuelo3,MErosiva,ModComb,EspCMue,PresReg,EfecReg,CortaReg,MejVue1,MejVue2,MejSue1,MejSue2,Orienta1,Orienta2,MaxPend1,MaxPend2,Localiza,Acceso,Levanta,Obser,Equipo,JefeEq,FechaIni,HoraIni,FechaFin,HoraFin,Tiempo,Resid,RumboF1,RumboF2,DistFoto,CarFoto1,NumFoto1,ConFoto1,CarFoto2,NumFoto2,ConFoto2,Estado.y,Tecnico,INVENTORY_ID.y,PLOT_ID.y
16_1051_A_1,16,1051,A,1,1,25,8,4,3,0,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,16_1051,16,16,1051,A,1,NA,NA,0,1985,K,0002,1998,,1-3,2003,078,1,1,1,100,65,1,1,3,2,2,4,06/25/03 00:00:00,12/30/99 10:58:00,1,1,1,1,5,1,NA,NA,4,0,,0,,95,0,1.5,0,2,1,1,REJON ENCONTRADO POR PIES DEL IFN2.10%  DE OCUPACION PARA RESTO DE ESPECIES. A 126 GRS HAY UN PIE QUE NO ENTRA POR DISTANCIA. LOS DAÑOS POR INSECTOS SON DE PROCESIONARIA. EN LA  PARCELA Y ALREDEDORES PASTA GANADO VACUNO. LOS RESTOS DE LAS CORTAS  PERMANECEN EN LA MASA.,8,5,06/25/03 00:00:00,12/30/99 09:59:09,06/25/03 00:00:00,12/30/99 11:03:54,65,219,092,040,14,353438,28,13,353438,27,14,D,4,IFN3,16_1051
16_1051_A_1,16,1051,A,1,2,37,1,2,3,0,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,16_1051,16,16,1051,A,1,NA,NA,0,1985,K,0002,1998,,1-3,2003,078,1,1,1,100,65,1,1,3,2,2,4,06/25/03 00:00:00,12/30/99 10:58:00,1,1,1,1,5,1,NA,NA,4,0,,0,,95,0,1.5,0,2,1,1,REJON ENCONTRADO POR PIES DEL IFN2.10%  DE OCUPACION PARA RESTO DE ESPECIES. A 126 GRS HAY UN PIE QUE NO ENTRA POR DISTANCIA. LOS DAÑOS POR INSECTOS SON DE PROCESIONARIA. EN LA  PARCELA Y ALREDEDORES PASTA GANADO VACUNO. LOS RESTOS DE LAS CORTAS  PERMANECEN EN LA MASA.,8,5,06/25/03 00:00:00,12/30/99 09:59:09,06/25/03 00:00:00,12/30/99 11:03:54,65,219,092,040,14,353438,28,13,353438,27,14,D,4,IFN3,16_1051
16_2992_A_1,16,2992,A,1,1,24,7,2,1,15,5,3,NA,NA,NA,NA,2,2,1,IFN3,16_2992,16,16,2992,A,1,NA,NA,0,1985,J,0012,1998,,2-2,2003,126,1,1,2,95,50,1,2,3,2,2,5,10/22/03 00:00:00,12/30/99 15:08:00,1,1,1,1,7,2,NA,NA,0,0,,5,0,380,0,4.5,0,2,2,2,"HE DEJADO EL 10% PARA LAS DEMAS SP.
PIE 2 ENTRA POR PENDIENTE Y MEDIDO POR  DEBAJO DE 1,30 MTRS.
PIE 3 DIAMETRO COMPROBADO.
",2,4,10/22/03 00:00:00,12/30/99 14:21:44,10/22/03 00:00:00,12/30/99 15:20:35,59,134,195,010,10,64393,12,29,64393,11,30,D,1,IFN3,16_2992
16_2992_A_1,16,2992,A,1,2,26,2,4,4,0,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,16_2992,16,16,2992,A,1,NA,NA,0,1985,J,0012,1998,,2-2,2003,126,1,1,2,95,50,1,2,3,2,2,5,10/22/03 00:00:00,12/30/99 15:08:00,1,1,1,1,7,2,NA,NA,0,0,,5,0,380,0,4.5,0,2,2,2,"HE DEJADO EL 10% PARA LAS DEMAS SP.
PIE 2 ENTRA POR PENDIENTE Y MEDIDO POR  DEBAJO DE 1,30 MTRS.
PIE 3 DIAMETRO COMPROBADO.
",2,4,10/22/03 00:00:00,12/30/99 14:21:44,10/22/03 00:00:00,12/30/99 15:20:35,59,134,195,010,10,64393,12,29,64393,11,30,D,1,IFN3,16_2992
40_1022_A_3C,40,1022,A,3C,1,21,9,4,1,35,5,3,NA,NA,NA,NA,2,1,1,IFN3,40_1022,40,40,1022,A,3C,NA,NA,0,1984,M,0012,2002,,4-4 ,2004,,1,1,2,90,90,1,1,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,140,NA,8.5,NA,1,2,3,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. EL MARCO DE PLANTACION DEL PINO ES DE 3X6. [PIES MAYORES] N.2, 17, 19 Y 27 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE ENEBRO EN CATEGORIA 3 Y 2.",4,990,03/08/04 10:11:03,,03/08/04 11:55:40,,NA,400,,,,NA,NA,NA,NA,NA,NA,T,99,IFN3,40_1022
40_1022_A_3C,40,1022,A,3C,2,37,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,40_1022,40,40,1022,A,3C,NA,NA,0,1984,M,0012,2002,,4-4 ,2004,,1,1,2,90,90,1,1,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,140,NA,8.5,NA,1,2,3,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. EL MARCO DE PLANTACION DEL PINO ES DE 3X6. [PIES MAYORES] N.2, 17, 19 Y 27 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE ENEBRO EN CATEGORIA 3 Y 2.",4,990,03/08/04 10:11:03,,03/08/04 11:55:40,,NA,400,,,,NA,NA,NA,NA,NA,NA,T,99,IFN3,40_1022
40_1033_A_3C,40,1033,A,3C,1,21,8,4,1,35,5,3,NA,NA,NA,NA,2,1,1,IFN3,40_1033,40,40,1033,A,3C,NA,NA,0,1984,M,0012,2002,,4-4 ,2004,,1,1,1,95,90,1,2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,260,NA,9.2,NA,1,1,1,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. SUBPISO DE ENEBRO.
40,EL MARCO DE PLANTACION ES DE 2X5. PIE RUMBO 240 SE VA DE 15 METROS.
40,[PIES MAYORES] 25-FORMA CORREGIDA. PIES N.1, 6, 26, 29 Y 30 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE JUNIPERUS COMMUNIS EN LA PARCELA. ORIENTACION: 260. PENDIENTE: 9, 25.",4,990,01/16/04 00:00:00,,01/16/04 01:33:28,,NA,400,,,,NA,NA,NA,NA,NA,NA,T,99,IFN3,40_1033
40_1033_A_3C,40,1033,A,3C,2,37,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,40_1033,40,40,1033,A,3C,NA,NA,0,1984,M,0012,2002,,4-4 ,2004,,1,1,1,95,90,1,2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,260,NA,9.2,NA,1,1,1,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. SUBPISO DE ENEBRO.
40,EL MARCO DE PLANTACION ES DE 2X5. PIE RUMBO 240 SE VA DE 15 METROS.
40,[PIES MAYORES] 25-FORMA CORREGIDA. PIES N.1, 6, 26, 29 Y 30 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE JUNIPERUS COMMUNIS EN LA PARCELA. ORIENTACION: 260. PENDIENTE: 9, 25.",4,990,01/16/04 00:00:00,,01/16/04 01:33:28,,NA,400,,,,NA,NA,NA,NA,NA,NA,T,99,IFN3,40_1033
40_1033_A_3E,40,1033,A,3E,1,37,7,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,40_1033,40,40,1033,A,3E,NA,NA,0,2002,,4-4 ,1984,M,0012,2004,,1,1,1,95,30,1,2,2,2,1,4,,,1,2,1,1,4,4,NA,NA,0,0,,0,,20,NA,9.5,NA,2,2,1,"LA PARCELA SE DESPLAZA 25 METROS RUMBO 0 POR CAER JUSTO EN UN CAMBIO DE TESELAS. NO ENTRAN PIES MAYORES EN DENDROMETRIA.
40,",4,990,01/16/04 02:32:04,,01/16/04 03:28:09,,NA,400,200,0,10,78357,20,20,78357,21,19,T,99,IFN3,40_1033
40_1033_A_3E,40,1033,A,3E,2,21,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,IFN3,40_1033,40,40,1033,A,3E,NA,NA,0,2002,,4-4 ,1984,M,0012,2004,,1,1,1,95,30,1,2,2,2,1,4,,,1,2,1,1,4,4,NA,NA,0,0,,0,,20,NA,9.5,NA,2,2,1,"LA PARCELA SE DESPLAZA 25 METROS RUMBO 0 POR CAER JUSTO EN UN CAMBIO DE TESELAS. NO ENTRAN PIES MAYORES EN DENDROMETRIA.
40,",4,990,01/16/04 02:32:04,,01/16/04 03:28:09,,NA,400,200,0,10,78357,20,20,78357,21,19,T,99,IFN3,40_1033
